fecha,visitas,anio,mes,dia_semana,numero_semana
2022-04-05,199,2022,4,Tuesday,15
2022-04-06,134,2022,4,Wednesday,15
2022-04-07,143,2022,4,Thursday,15
2022-04-08,152,2022,4,Friday,15
2022-04-09,186,2022,4,Saturday,15
2022-04-10,221,2022,4,Sunday,15
2022-04-11,207,2022,4,Monday,16
2022-04-12,200,2022,4,Tuesday,16
2022-04-13,158,2022,4,Wednesday,16
2022-04-14,122,2022,4,Thursday,16
2022-04-15,144,2022,4,Friday,16
2022-04-16,195,2022,4,Saturday,16
2022-04-17,263,2022,4,Sunday,16
2022-04-18,239,2022,4,Monday,17
2022-04-19,213,2022,4,Tuesday,17
2022-04-20,163,2022,4,Wednesday,17
2022-04-21,99,2022,4,Thursday,17
2022-04-22,147,2022,4,Friday,17
2022-04-23,188,2022,4,Saturday,17
2022-04-24,275,2022,4,Sunday,17
2022-04-25,231,2022,4,Monday,18
2022-04-26,214,2022,4,Tuesday,18
2022-04-27,164,2022,4,Wednesday,18
2022-04-28,114,2022,4,Thursday,18
2022-04-29,169,2022,4,Friday,18
2022-04-30,200,2022,4,Saturday,18
2022-05-01,240,2022,5,Sunday,18
2022-05-02,216,2022,5,Monday,19
2022-05-03,235,2022,5,Tuesday,19
2022-05-04,135,2022,5,Wednesday,19
2022-05-05,147,2022,5,Thursday,19
2022-05-06,189,2022,5,Friday,19
2022-05-07,164,2022,5,Saturday,19
2022-05-08,211,2022,5,Sunday,19
2022-05-09,234,2022,5,Monday,20
2022-05-10,194,2022,5,Tuesday,20
2022-05-11,130,2022,5,Wednesday,20
2022-05-12,135,2022,5,Thursday,20
2022-05-13,121,2022,5,Friday,20
2022-05-14,191,2022,5,Saturday,20
2022-05-15,201,2022,5,Sunday,20
2022-05-16,260,2022,5,Monday,21
2022-05-17,186,2022,5,Tuesday,21
2022-05-18,151,2022,5,Wednesday,21
2022-05-19,146,2022,5,Thursday,21
2022-05-20,115,2022,5,Friday,21
2022-05-21,183,2022,5,Saturday,21
2022-05-22,243,2022,5,Sunday,21
2022-05-23,194,2022,5,Monday,22
2022-05-24,202,2022,5,Tuesday,22
2022-05-25,159,2022,5,Wednesday,22
2022-05-26,142,2022,5,Thursday,22
2022-05-27,111,2022,5,Friday,22
2022-05-28,148,2022,5,Saturday,22
2022-05-29,223,2022,5,Sunday,22
2022-05-30,228,2022,5,Monday,23
2022-05-31,199,2022,5,Tuesday,23
2022-06-01,157,2022,6,Wednesday,23
2022-06-02,109,2022,6,Thursday,23
2022-06-03,136,2022,6,Friday,23
2022-06-04,176,2022,6,Saturday,23
2022-06-05,194,2022,6,Sunday,23
2022-06-06,255,2022,6,Monday,24
2022-06-07,199,2022,6,Tuesday,24
2022-06-08,122,2022,6,Wednesday,24
2022-06-09,131,2022,6,Thursday,24
2022-06-10,107,2022,6,Friday,24
2022-06-11,181,2022,6,Saturday,24
2022-06-12,227,2022,6,Sunday,24
2022-06-13,196,2022,6,Monday,25
2022-06-14,204,2022,6,Tuesday,25
2022-06-15,149,2022,6,Wednesday,25
2022-06-16,130,2022,6,Thursday,25
2022-06-17,160,2022,6,Friday,25
2022-06-18,156,2022,6,Saturday,25
2022-06-19,184,2022,6,Sunday,25
2022-06-20,190,2022,6,Monday,26
2022-06-21,164,2022,6,Tuesday,26
2022-06-22,134,2022,6,Wednesday,26
2022-06-23,115,2022,6,Thursday,26
2022-06-24,122,2022,6,Friday,26
2022-06-25,172,2022,6,Saturday,26
2022-06-26,194,2022,6,Sunday,26
2022-06-27,232,2022,6,Monday,27
2022-06-28,169,2022,6,Tuesday,27
2022-06-29,185,2022,6,Wednesday,27
2022-06-30,115,2022,6,Thursday,27
2022-07-01,94,2022,7,Friday,27
2022-07-02,129,2022,7,Saturday,27
2022-07-03,198,2022,7,Sunday,27
2022-07-04,193,2022,7,Monday,28
2022-07-05,184,2022,7,Tuesday,28
2022-07-06,135,2022,7,Wednesday,28
2022-07-07,96,2022,7,Thursday,28
2022-07-08,89,2022,7,Friday,28
2022-07-09,114,2022,7,Saturday,28
2022-07-10,174,2022,7,Sunday,28
2022-07-11,209,2022,7,Monday,29
2022-07-12,168,2022,7,Tuesday,29
2022-07-13,95,2022,7,Wednesday,29
2022-07-14,96,2022,7,Thursday,29
2022-07-15,109,2022,7,Friday,29
2022-07-16,122,2022,7,Saturday,29
2022-07-17,181,2022,7,Sunday,29
2022-07-18,188,2022,7,Monday,30
2022-07-19,136,2022,7,Tuesday,30
2022-07-20,122,2022,7,Wednesday,30
2022-07-21,98,2022,7,Thursday,30
2022-07-22,118,2022,7,Friday,30
2022-07-23,156,2022,7,Saturday,30
2022-07-24,145,2022,7,Sunday,30
2022-07-25,163,2022,7,Monday,31
2022-07-26,164,2022,7,Tuesday,31
2022-07-27,120,2022,7,Wednesday,31
2022-07-28,93,2022,7,Thursday,31
2022-07-29,168,2022,7,Friday,31
2022-07-30,141,2022,7,Saturday,31
2022-07-31,191,2022,7,Sunday,31
2022-08-01,196,2022,8,Monday,32
2022-08-02,163,2022,8,Tuesday,32
2022-08-03,99,2022,8,Wednesday,32
2022-08-04,93,2022,8,Thursday,32
2022-08-05,71,2022,8,Friday,32
2022-08-06,121,2022,8,Saturday,32
2022-08-07,154,2022,8,Sunday,32
2022-08-08,175,2022,8,Monday,33
2022-08-09,192,2022,8,Tuesday,33
2022-08-10,64,2022,8,Wednesday,33
2022-08-11,88,2022,8,Thursday,33
2022-08-12,51,2022,8,Friday,33
2022-08-13,112,2022,8,Saturday,33
2022-08-14,182,2022,8,Sunday,33
2022-08-15,171,2022,8,Monday,34
2022-08-16,120,2022,8,Tuesday,34
2022-08-17,84,2022,8,Wednesday,34
2022-08-18,84,2022,8,Thursday,34
2022-08-19,65,2022,8,Friday,34
2022-08-20,123,2022,8,Saturday,34
2022-08-21,158,2022,8,Sunday,34
2022-08-22,153,2022,8,Monday,35
2022-08-23,182,2022,8,Tuesday,35
2022-08-24,108,2022,8,Wednesday,35
2022-08-25,27,2022,8,Thursday,35
2022-08-26,81,2022,8,Friday,35
2022-08-27,103,2022,8,Saturday,35
2022-08-28,172,2022,8,Sunday,35
2022-08-29,148,2022,8,Monday,36
2022-08-30,134,2022,8,Tuesday,36
2022-08-31,103,2022,8,Wednesday,36
2022-09-01,83,2022,9,Thursday,36
2022-09-02,51,2022,9,Friday,36
2022-09-03,107,2022,9,Saturday,36
2022-09-04,143,2022,9,Sunday,36
2022-09-05,149,2022,9,Monday,37
2022-09-06,170,2022,9,Tuesday,37
2022-09-07,100,2022,9,Wednesday,37
2022-09-08,39,2022,9,Thursday,37
2022-09-09,92,2022,9,Friday,37
2022-09-10,155,2022,9,Saturday,37
2022-09-11,172,2022,9,Sunday,37
2022-09-12,131,2022,9,Monday,38
2022-09-13,125,2022,9,Tuesday,38
2022-09-14,116,2022,9,Wednesday,38
2022-09-15,50,2022,9,Thursday,38
2022-09-16,82,2022,9,Friday,38
2022-09-17,128,2022,9,Saturday,38
2022-09-18,133,2022,9,Sunday,38
2022-09-19,160,2022,9,Monday,39
2022-09-20,69,2022,9,Tuesday,39
2022-09-21,70,2022,9,Wednesday,39
2022-09-22,59,2022,9,Thursday,39
2022-09-23,49,2022,9,Friday,39
2022-09-24,146,2022,9,Saturday,39
2022-09-25,124,2022,9,Sunday,39
2022-09-26,153,2022,9,Monday,40
2022-09-27,138,2022,9,Tuesday,40
2022-09-28,121,2022,9,Wednesday,40
2022-09-29,36,2022,9,Thursday,40
2022-09-30,98,2022,9,Friday,40
2022-10-01,115,2022,10,Saturday,40
2022-10-02,134,2022,10,Sunday,40
2022-10-03,173,2022,10,Monday,41
2022-10-04,141,2022,10,Tuesday,41
2022-10-05,82,2022,10,Wednesday,41
2022-10-06,69,2022,10,Thursday,41
2022-10-07,69,2022,10,Friday,41
2022-10-08,119,2022,10,Saturday,41
2022-10-09,169,2022,10,Sunday,41
2022-10-10,198,2022,10,Monday,42
2022-10-11,115,2022,10,Tuesday,42
2022-10-12,139,2022,10,Wednesday,42
2022-10-13,31,2022,10,Thursday,42
2022-10-14,77,2022,10,Friday,42
2022-10-15,132,2022,10,Saturday,42
2022-10-16,165,2022,10,Sunday,42
2022-10-17,157,2022,10,Monday,43
2022-10-18,139,2022,10,Tuesday,43
2022-10-19,90,2022,10,Wednesday,43
2022-10-20,62,2022,10,Thursday,43
2022-10-21,101,2022,10,Friday,43
2022-10-22,131,2022,10,Saturday,43
2022-10-23,150,2022,10,Sunday,43
2022-10-24,192,2022,10,Monday,44
2022-10-25,154,2022,10,Tuesday,44
2022-10-26,121,2022,10,Wednesday,44
2022-10-27,91,2022,10,Thursday,44
2022-10-28,72,2022,10,Friday,44
2022-10-29,117,2022,10,Saturday,44
2022-10-30,183,2022,10,Sunday,44
2022-10-31,191,2022,10,Monday,45
2022-11-01,152,2022,11,Tuesday,45
2022-11-02,112,2022,11,Wednesday,45
2022-11-03,109,2022,11,Thursday,45
2022-11-04,82,2022,11,Friday,45
2022-11-05,145,2022,11,Saturday,45
2022-11-06,170,2022,11,Sunday,45
2022-11-07,180,2022,11,Monday,46
2022-11-08,180,2022,11,Tuesday,46
2022-11-09,132,2022,11,Wednesday,46
2022-11-10,106,2022,11,Thursday,46
2022-11-11,126,2022,11,Friday,46
2022-11-12,141,2022,11,Saturday,46
2022-11-13,194,2022,11,Sunday,46
2022-11-14,185,2022,11,Monday,47
2022-11-15,172,2022,11,Tuesday,47
2022-11-16,120,2022,11,Wednesday,47
2022-11-17,99,2022,11,Thursday,47
2022-11-18,119,2022,11,Friday,47
2022-11-19,131,2022,11,Saturday,47
2022-11-20,229,2022,11,Sunday,47
2022-11-21,178,2022,11,Monday,48
2022-11-22,148,2022,11,Tuesday,48
2022-11-23,153,2022,11,Wednesday,48
2022-11-24,120,2022,11,Thursday,48
2022-11-25,127,2022,11,Friday,48
2022-11-26,167,2022,11,Saturday,48
2022-11-27,195,2022,11,Sunday,48
2022-11-28,188,2022,11,Monday,49
2022-11-29,182,2022,11,Tuesday,49
2022-11-30,124,2022,11,Wednesday,49
2022-12-01,131,2022,12,Thursday,49
2022-12-02,120,2022,12,Friday,49
2022-12-03,146,2022,12,Saturday,49
2022-12-04,197,2022,12,Sunday,49
2022-12-05,222,2022,12,Monday,50
2022-12-06,177,2022,12,Tuesday,50
2022-12-07,130,2022,12,Wednesday,50
2022-12-08,125,2022,12,Thursday,50
2022-12-09,136,2022,12,Friday,50
2022-12-10,161,2022,12,Saturday,50
2022-12-11,202,2022,12,Sunday,50
2022-12-12,227,2022,12,Monday,51
2022-12-13,168,2022,12,Tuesday,51
2022-12-14,127,2022,12,Wednesday,51
2022-12-15,115,2022,12,Thursday,51
2022-12-16,136,2022,12,Friday,51
2022-12-17,186,2022,12,Saturday,51
2022-12-18,250,2022,12,Sunday,51
2022-12-19,249,2022,12,Monday,52
2022-12-20,203,2022,12,Tuesday,52
2022-12-21,163,2022,12,Wednesday,52
2022-12-22,118,2022,12,Thursday,52
2022-12-23,148,2022,12,Friday,52
2022-12-24,183,2022,12,Saturday,52
2022-12-25,236,2022,12,Sunday,52
2022-12-26,224,2022,12,Monday,53
2022-12-27,225,2022,12,Tuesday,53
2022-12-28,203,2022,12,Wednesday,53
2022-12-29,145,2022,12,Thursday,53
2022-12-30,166,2022,12,Friday,53
2022-12-31,212,2022,12,Saturday,53
2023-01-01,231,2023,1,Sunday,1
2023-01-02,254,2023,1,Monday,2
2023-01-03,224,2023,1,Tuesday,2
2023-01-04,184,2023,1,Wednesday,2
2023-01-05,141,2023,1,Thursday,2
2023-01-06,168,2023,1,Friday,2
2023-01-07,217,2023,1,Saturday,2
2023-01-08,277,2023,1,Sunday,2
2023-01-09,278,2023,1,Monday,3
2023-01-10,276,2023,1,Tuesday,3
2023-01-11,176,2023,1,Wednesday,3
2023-01-12,183,2023,1,Thursday,3
2023-01-13,180,2023,1,Friday,3
2023-01-14,260,2023,1,Saturday,3
2023-01-15,241,2023,1,Sunday,3
2023-01-16,251,2023,1,Monday,4
2023-01-17,230,2023,1,Tuesday,4
2023-01-18,157,2023,1,Wednesday,4
2023-01-19,164,2023,1,Thursday,4
2023-01-20,170,2023,1,Friday,4
2023-01-21,228,2023,1,Saturday,4
2023-01-22,273,2023,1,Sunday,4
2023-01-23,314,2023,1,Monday,5
2023-01-24,270,2023,1,Tuesday,5
2023-01-25,197,2023,1,Wednesday,5
2023-01-26,165,2023,1,Thursday,5
2023-01-27,203,2023,1,Friday,5
2023-01-28,208,2023,1,Saturday,5
2023-01-29,311,2023,1,Sunday,5
2023-01-30,309,2023,1,Monday,6
2023-01-31,250,2023,1,Tuesday,6
2023-02-01,183,2023,2,Wednesday,6
2023-02-02,218,2023,2,Thursday,6
2023-02-03,200,2023,2,Friday,6
2023-02-04,267,2023,2,Saturday,6
2023-02-05,250,2023,2,Sunday,6
2023-02-06,281,2023,2,Monday,7
2023-02-07,267,2023,2,Tuesday,7
2023-02-08,226,2023,2,Wednesday,7
2023-02-09,190,2023,2,Thursday,7
2023-02-10,222,2023,2,Friday,7
2023-02-11,228,2023,2,Saturday,7
2023-02-12,287,2023,2,Sunday,7
2023-02-13,303,2023,2,Monday,8
2023-02-14,285,2023,2,Tuesday,8
2023-02-15,246,2023,2,Wednesday,8
2023-02-16,184,2023,2,Thursday,8
2023-02-17,186,2023,2,Friday,8
2023-02-18,282,2023,2,Saturday,8
2023-02-19,304,2023,2,Sunday,8
2023-02-20,293,2023,2,Monday,9
2023-02-21,313,2023,2,Tuesday,9
2023-02-22,241,2023,2,Wednesday,9
2023-02-23,236,2023,2,Thursday,9
2023-02-24,225,2023,2,Friday,9
2023-02-25,305,2023,2,Saturday,9
2023-02-26,338,2023,2,Sunday,9
2023-02-27,309,2023,2,Monday,10
2023-02-28,307,2023,2,Tuesday,10
2023-03-01,258,2023,3,Wednesday,10
2023-03-02,246,2023,3,Thursday,10
2023-03-03,210,2023,3,Friday,10
2023-03-04,283,2023,3,Saturday,10
2023-03-05,330,2023,3,Sunday,10
2023-03-06,284,2023,3,Monday,11
2023-03-07,269,2023,3,Tuesday,11
2023-03-08,210,2023,3,Wednesday,11
2023-03-09,219,2023,3,Thursday,11
2023-03-10,249,2023,3,Friday,11
2023-03-11,304,2023,3,Saturday,11
2023-03-12,315,2023,3,Sunday,11
2023-03-13,357,2023,3,Monday,12
2023-03-14,270,2023,3,Tuesday,12
2023-03-15,221,2023,3,Wednesday,12
2023-03-16,227,2023,3,Thursday,12
2023-03-17,246,2023,3,Friday,12
2023-03-18,278,2023,3,Saturday,12
2023-03-19,277,2023,3,Sunday,12
2023-03-20,326,2023,3,Monday,13
2023-03-21,276,2023,3,Tuesday,13
2023-03-22,272,2023,3,Wednesday,13
2023-03-23,240,2023,3,Thursday,13
2023-03-24,223,2023,3,Friday,13
2023-03-25,272,2023,3,Saturday,13
2023-03-26,300,2023,3,Sunday,13
2023-03-27,330,2023,3,Monday,14
2023-03-28,324,2023,3,Tuesday,14
2023-03-29,242,2023,3,Wednesday,14
2023-03-30,245,2023,3,Thursday,14
2023-03-31,234,2023,3,Friday,14
2023-04-01,268,2023,4,Saturday,14
2023-04-02,322,2023,4,Sunday,14
2023-04-03,313,2023,4,Monday,15
2023-04-04,296,2023,4,Tuesday,15
2023-04-05,240,2023,4,Wednesday,15
2023-04-06,276,2023,4,Thursday,15
2023-04-07,247,2023,4,Friday,15
2023-04-08,272,2023,4,Saturday,15
2023-04-09,329,2023,4,Sunday,15
2023-04-10,333,2023,4,Monday,16
2023-04-11,304,2023,4,Tuesday,16
2023-04-12,277,2023,4,Wednesday,16
2023-04-13,253,2023,4,Thursday,16
2023-04-14,237,2023,4,Friday,16
2023-04-15,275,2023,4,Saturday,16
2023-04-16,320,2023,4,Sunday,16
2023-04-17,290,2023,4,Monday,17
2023-04-18,278,2023,4,Tuesday,17
2023-04-19,292,2023,4,Wednesday,17
2023-04-20,271,2023,4,Thursday,17
2023-04-21,243,2023,4,Friday,17
2023-04-22,298,2023,4,Saturday,17
2023-04-23,332,2023,4,Sunday,17
2023-04-24,397,2023,4,Monday,18
2023-04-25,330,2023,4,Tuesday,18
2023-04-26,262,2023,4,Wednesday,18
2023-04-27,218,2023,4,Thursday,18
2023-04-28,215,2023,4,Friday,18
2023-04-29,290,2023,4,Saturday,18
2023-04-30,310,2023,4,Sunday,18
2023-05-01,306,2023,5,Monday,19
2023-05-02,294,2023,5,Tuesday,19
2023-05-03,242,2023,5,Wednesday,19
2023-05-04,270,2023,5,Thursday,19
2023-05-05,263,2023,5,Friday,19
2023-05-06,284,2023,5,Saturday,19
2023-05-07,352,2023,5,Sunday,19
2023-05-08,334,2023,5,Monday,20
2023-05-09,288,2023,5,Tuesday,20
2023-05-10,292,2023,5,Wednesday,20
2023-05-11,244,2023,5,Thursday,20
2023-05-12,222,2023,5,Friday,20
2023-05-13,278,2023,5,Saturday,20
2023-05-14,303,2023,5,Sunday,20
2023-05-15,302,2023,5,Monday,21
2023-05-16,321,2023,5,Tuesday,21
2023-05-17,297,2023,5,Wednesday,21
2023-05-18,203,2023,5,Thursday,21
2023-05-19,251,2023,5,Friday,21
2023-05-20,266,2023,5,Saturday,21
2023-05-21,307,2023,5,Sunday,21
2023-05-22,315,2023,5,Monday,22
2023-05-23,282,2023,5,Tuesday,22
2023-05-24,256,2023,5,Wednesday,22
2023-05-25,211,2023,5,Thursday,22
2023-05-26,242,2023,5,Friday,22
2023-05-27,274,2023,5,Saturday,22
2023-05-28,309,2023,5,Sunday,22
2023-05-29,304,2023,5,Monday,23
2023-05-30,283,2023,5,Tuesday,23
2023-05-31,266,2023,5,Wednesday,23
2023-06-01,233,2023,6,Thursday,23
2023-06-02,213,2023,6,Friday,23
2023-06-03,273,2023,6,Saturday,23
2023-06-04,324,2023,6,Sunday,23
2023-06-05,285,2023,6,Monday,24
2023-06-06,301,2023,6,Tuesday,24
2023-06-07,233,2023,6,Wednesday,24
2023-06-08,230,2023,6,Thursday,24
2023-06-09,213,2023,6,Friday,24
2023-06-10,230,2023,6,Saturday,24
2023-06-11,272,2023,6,Sunday,24
2023-06-12,315,2023,6,Monday,25
2023-06-13,291,2023,6,Tuesday,25
2023-06-14,224,2023,6,Wednesday,25
2023-06-15,227,2023,6,Thursday,25
2023-06-16,190,2023,6,Friday,25
2023-06-17,260,2023,6,Saturday,25
2023-06-18,275,2023,6,Sunday,25
2023-06-19,296,2023,6,Monday,26
2023-06-20,282,2023,6,Tuesday,26
2023-06-21,219,2023,6,Wednesday,26
2023-06-22,201,2023,6,Thursday,26
2023-06-23,238,2023,6,Friday,26
2023-06-24,245,2023,6,Saturday,26
2023-06-25,311,2023,6,Sunday,26
2023-06-26,281,2023,6,Monday,27
2023-06-27,286,2023,6,Tuesday,27
2023-06-28,260,2023,6,Wednesday,27
2023-06-29,154,2023,6,Thursday,27
2023-06-30,197,2023,6,Friday,27
2023-07-01,262,2023,7,Saturday,27
2023-07-02,285,2023,7,Sunday,27
2023-07-03,305,2023,7,Monday,28
2023-07-04,258,2023,7,Tuesday,28
2023-07-05,228,2023,7,Wednesday,28
2023-07-06,195,2023,7,Thursday,28
2023-07-07,231,2023,7,Friday,28
2023-07-08,251,2023,7,Saturday,28
2023-07-09,291,2023,7,Sunday,28
2023-07-10,285,2023,7,Monday,29
2023-07-11,255,2023,7,Tuesday,29
2023-07-12,212,2023,7,Wednesday,29
2023-07-13,201,2023,7,Thursday,29
2023-07-14,194,2023,7,Friday,29
2023-07-15,246,2023,7,Saturday,29
2023-07-16,320,2023,7,Sunday,29
2023-07-17,305,2023,7,Monday,30
2023-07-18,253,2023,7,Tuesday,30
2023-07-19,240,2023,7,Wednesday,30
2023-07-20,180,2023,7,Thursday,30
2023-07-21,156,2023,7,Friday,30
2023-07-22,215,2023,7,Saturday,30
2023-07-23,236,2023,7,Sunday,30
2023-07-24,276,2023,7,Monday,31
2023-07-25,255,2023,7,Tuesday,31
2023-07-26,244,2023,7,Wednesday,31
2023-07-27,190,2023,7,Thursday,31
2023-07-28,188,2023,7,Friday,31
2023-07-29,247,2023,7,Saturday,31
2023-07-30,225,2023,7,Sunday,31
2023-07-31,283,2023,7,Monday,32
2023-08-01,266,2023,8,Tuesday,32
2023-08-02,177,2023,8,Wednesday,32
2023-08-03,202,2023,8,Thursday,32
2023-08-04,194,2023,8,Friday,32
2023-08-05,218,2023,8,Saturday,32
2023-08-06,277,2023,8,Sunday,32
2023-08-07,319,2023,8,Monday,33
2023-08-08,250,2023,8,Tuesday,33
2023-08-09,207,2023,8,Wednesday,33
2023-08-10,165,2023,8,Thursday,33
2023-08-11,167,2023,8,Friday,33
2023-08-12,239,2023,8,Saturday,33
2023-08-13,244,2023,8,Sunday,33
2023-08-14,271,2023,8,Monday,34
2023-08-15,233,2023,8,Tuesday,34
2023-08-16,208,2023,8,Wednesday,34
2023-08-17,178,2023,8,Thursday,34
2023-08-18,201,2023,8,Friday,34
2023-08-19,209,2023,8,Saturday,34
2023-08-20,252,2023,8,Sunday,34
2023-08-21,247,2023,8,Monday,35
2023-08-22,231,2023,8,Tuesday,35
2023-08-23,203,2023,8,Wednesday,35
2023-08-24,183,2023,8,Thursday,35
2023-08-25,159,2023,8,Friday,35
2023-08-26,234,2023,8,Saturday,35
2023-08-27,282,2023,8,Sunday,35
2023-08-28,273,2023,8,Monday,36
2023-08-29,275,2023,8,Tuesday,36
2023-08-30,178,2023,8,Wednesday,36
2023-08-31,141,2023,8,Thursday,36
2023-09-01,140,2023,9,Friday,36
2023-09-02,244,2023,9,Saturday,36
2023-09-03,266,2023,9,Sunday,36
2023-09-04,261,2023,9,Monday,37
2023-09-05,241,2023,9,Tuesday,37
2023-09-06,169,2023,9,Wednesday,37
2023-09-07,213,2023,9,Thursday,37
2023-09-08,177,2023,9,Friday,37
2023-09-09,215,2023,9,Saturday,37
2023-09-10,267,2023,9,Sunday,37
2023-09-11,271,2023,9,Monday,38
2023-09-12,239,2023,9,Tuesday,38
2023-09-13,175,2023,9,Wednesday,38
2023-09-14,173,2023,9,Thursday,38
2023-09-15,211,2023,9,Friday,38
2023-09-16,240,2023,9,Saturday,38
2023-09-17,284,2023,9,Sunday,38
2023-09-18,251,2023,9,Monday,39
2023-09-19,215,2023,9,Tuesday,39
2023-09-20,189,2023,9,Wednesday,39
2023-09-21,165,2023,9,Thursday,39
2023-09-22,196,2023,9,Friday,39
2023-09-23,179,2023,9,Saturday,39
2023-09-24,283,2023,9,Sunday,39
2023-09-25,259,2023,9,Monday,40
2023-09-26,227,2023,9,Tuesday,40
2023-09-27,172,2023,9,Wednesday,40
2023-09-28,132,2023,9,Thursday,40
2023-09-29,191,2023,9,Friday,40
2023-09-30,216,2023,9,Saturday,40
2023-10-01,228,2023,10,Sunday,40
2023-10-02,238,2023,10,Monday,41
2023-10-03,230,2023,10,Tuesday,41
2023-10-04,227,2023,10,Wednesday,41
2023-10-05,162,2023,10,Thursday,41
2023-10-06,147,2023,10,Friday,41
2023-10-07,212,2023,10,Saturday,41
2023-10-08,250,2023,10,Sunday,41
2023-10-09,212,2023,10,Monday,42
2023-10-10,238,2023,10,Tuesday,42
2023-10-11,192,2023,10,Wednesday,42
2023-10-12,184,2023,10,Thursday,42
2023-10-13,217,2023,10,Friday,42
2023-10-14,242,2023,10,Saturday,42
2023-10-15,254,2023,10,Sunday,42
2023-10-16,247,2023,10,Monday,43
2023-10-17,294,2023,10,Tuesday,43
2023-10-18,201,2023,10,Wednesday,43
2023-10-19,174,2023,10,Thursday,43
2023-10-20,183,2023,10,Friday,43
2023-10-21,227,2023,10,Saturday,43
2023-10-22,260,2023,10,Sunday,43
2023-10-23,262,2023,10,Monday,44
2023-10-24,236,2023,10,Tuesday,44
2023-10-25,204,2023,10,Wednesday,44
2023-10-26,167,2023,10,Thursday,44
